id,created_at,text
1048312120914399232,2018-10-05 20:41:00,"b""Under President  realDonaldTrumps leadership, our military will stay on the cutting edge, supported by the greates\xe2\x80\xa6"
1048262095668744193,2018-10-05 17:22:14,FLOTUS: Thank you Malawi! \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 \xf0\x9f\x87\xb2\xf0\x9f\x87\xbc
1048260537015029760,2018-10-05 17:16:02,"East Wing historian Jennifer Boswell Pickens offers a detailed look at  FLOTUS\ foreign trip to Africa this week. ""\xe2\x80\xa6"
1048253742733254657,2018-10-05 16:49:02,"Since President  realDonaldTrump took office, the manufacturing sector has made an incredible comeback, adding hist\xe2\x80\xa6"
1048249711914831872,2018-10-05 16:33:01,"As President  realDonaldTrump champions a level playing field for American workers and manufacturers, the efforts s\xe2\x80\xa6"
1048226608153280512,2018-10-05 15:01:13,Very proud of the U.S. Senate for voting \xe2\x80\x9cYES\xe2\x80\x9d to advance the nomination of Judge Brett Kavanaugh!
1048203905660858368,2018-10-05 13:31:00,The unemployment rate dropped again!  3.7% in September. The economy is booming under  RealDonaldTrump\xe2\x80\x99s leadership.
1047999309931794432,2018-10-04 23:58:01,"As  FLOTUS visited with the children of Lilongwe, Malawi, known as the \xe2\x80\x9cwarm heart of Africa,"" she spoke on the imp\xe2\x80\xa6"
1047982448183844865,2018-10-04 22:51:00,The National Strategy for Counterterrorism focuses America on deterring all terrorists with the intent and ability\xe2\x80\xa6
1047974898440839168,2018-10-04 22:21:00,President Trump has released a new National Strategy for Counterterrorism that will protect American citizens and i\xe2\x80\xa6
1047944704564908032,2018-10-04 20:21:02,City and county leaders from Maryland and Delaware were here today to discuss shared priorities with Administration\xe2\x80\xa6
1047888864952705024,2018-10-04 16:39:08,FLOTUS: Thank you Ghana! \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 \xf0\x9f\x87\xac\xf0\x9f\x87\xad
1047876775051714560,2018-10-04 15:51:06,First Lady Melania Trump has landed in Malawi after completing the first leg of her international trip in Ghana.\n\nF\xe2\x80\xa6
1047873733275385856,2018-10-04 15:39:01,"Yet another key barometer of the U.S. economy has hit a 21-year high: The ISI index climbed to 61.6 in September. ""\xe2\x80\xa6"
1047849133426581504,2018-10-04 14:01:16,". IvankaTrump visited with search-and-rescue heroes in Mooresville and volunteers and families in Lumberton, NC\xe2\x80\x94a c\xe2\x80\xa6"
1047841517723947008,2018-10-04 13:31:00,"""Whether you\xe2\x80\x99re a Democrat, Republican, or an independent, you should welcome President Trump\xe2\x80\x99s announcement of the\xe2\x80\xa6"
1047628113075691521,2018-10-03 23:23:00,. IvankaTrump\xe2\x80\x94a relentless advocate for workforce development\xe2\x80\x94spoke today with students at  NASCAR Technical Instit\xe2\x80\xa6
1047606548300812289,2018-10-03 21:57:19,"""In America, the people govern. The men and women who go to work each day are not only powering our economy\xe2\x80\x94they ar\xe2\x80\xa6"
1047590869367496705,2018-10-03 20:55:01,". RepRooney calls USMCA ""a major victory for all Americans."" \n\nMore from Hill, Cabinet, and industry leaders:\xe2\x80\xa6"
1047584829070618624,2018-10-03 20:31:01,"""The USMCA is the most impressive result yet of the Trump Administration\xe2\x80\x99s trade agenda, which is focused on increa\xe2\x80\xa6"
1047578287155892225,2018-10-03 20:05:01,"\xe2\x80\x9cAs someone who voted against NAFTA and opposed it for many years, I knew it needed fixing. The president deserves\xe2\x80\xa6"
1047571560515739649,2018-10-03 19:38:17,"Today,  PressSec announced that President Trump is donating his Q2 salary to  SBAgov, and  SBALinda was on hand to\xe2\x80\xa6"
1047561673563938816,2018-10-03 18:59:00,FLOTUS: Day two in #Ghana was so impactful. My visit to Cape Coast castle was a solemn reminder of a time in our history that should ne\xe2\x80\xa6
1047558403315433473,2018-10-03 18:46:00,"FLOTUS: Thank you #Ghana! The arrival ceremony, visit to Ridge Hospital, tea at the Jubilee House &amp; meeting the hard workers at the U.S\xe2\x80\xa6"
1047548586978889730,2018-10-03 18:07:00,"fema: \xf0\x9f\x93\xb3 TODAY (10/3): At 2:18 PM EDT, we will be testing the Wireless Emergency Alert system nationwide. Expect a message box on your p\xe2\x80\xa6"
1047545870747672576,2018-10-03 17:56:12,"Today  FEMA, in coordination with the  FCC, will conduct a nationwide test of the Wireless Emergency Alert system a\xe2\x80\xa6"
1047518404968665089,2018-10-03 16:07:04,"""Democrats will make any argument, no matter how implausible or over-the-top, to try to sink him.\xe2\x80\x9d \xe2\x80\x94 National Revie\xe2\x80\xa6"
1047503291297538048,2018-10-03 15:07:00,"Mexico, Canada and the United States are a great partnership and will be a very formidable trading force. We will now,\xe2\x80\xa6"
1047271273053802497,2018-10-02 23:45:03,"b""Republicans, Democrats, business leaders, labor unions\xe2\x80\x94President Trumps historic U.S.-Mexico-Canada Agreement has\xe2\x80\xa6"
